id,price,name,art,topprize,topstart,topremaining,allstart,allremaining,chancestowin,launchdate,probability
498,10,"$100,000 Crossword",https://www.mdlottery.com/wp-content/uploads/2020/08/100K_Crossword_4th_Edition_Digital_wInstruction_RGB.jpg,100000,8,6,790923,590405,7,2020-08-24T04:00:00.000Z,3.09
499,20,Bonus Bingo X20,https://www.mdlottery.com/wp-content/uploads/2020/08/BonusBingoX20_Front.jpg,500000,8,7,1147147,1027809,10,2020-08-24T04:00:00.000Z,2.96
500,1,Quick Hit™ 777,https://www.mdlottery.com/wp-content/uploads/2020/09/500QuickHit_777_Front.jpg,777,24,19,862610,697264,1,2020-09-21T04:00:00.000Z,4.84
502,5,"$50,000 Bingo Doubler",https://www.mdlottery.com/wp-content/uploads/2020/09/50K_Bingo_Doubler_Front.jpg,50000,7,6,1100003,911593,6,2020-09-21T04:00:00.000Z,3.75
503,10,"$10,000 Extreme Green",https://www.mdlottery.com/wp-content/uploads/2020/09/10K-Extreme-Green_Front.jpg,10000,128,94,777742,568371,25,2020-09-21T04:00:00.000Z,3.45
504,30,"$100,000 Extreme Cash",https://www.mdlottery.com/wp-content/uploads/2020/09/100000_ExtremeCash_Front_576px_RGB.jpg,100000,64,58,1250985,1125945,44,2020-09-21T04:00:00.000Z,2.79
505,1,Holiday Luck,https://www.mdlottery.com/wp-content/uploads/2020/10/HolidayLuck_Front.jpg,1000,32,30,889907,840564,6,2020-10-19T04:00:00.000Z,4.63
506,2,Holiday Luck X2,https://www.mdlottery.com/wp-content/uploads/2020/10/HolidayLuck_X2_Front.jpg,10000,7,5,632721,585934,11,2020-10-19T04:00:00.000Z,4.06
507,3,Peppermint Payout X3,https://www.mdlottery.com/wp-content/uploads/2020/10/PeppermintPayoutX3_Front.jpg,30000,4,4,846580,782963,10,2020-10-19T04:00:00.000Z,3.8
508,5,Holiday Luck X5,https://www.mdlottery.com/wp-content/uploads/2020/10/HolidayLuck_X5_Front.jpg,50000,8,7,833265,730790,16,2020-10-19T04:00:00.000Z,3.8
509,10,Holiday Luck X10,https://www.mdlottery.com/wp-content/uploads/2020/10/HolidayLuck_X10_Front.jpg,100000,8,8,948881,867477,26,2020-10-19T04:00:00.000Z,3.34
